"run"	"Année"	"baseline"	"scen"	"ssp"	"recup"	"Bonifié"	"mgmt.unit"	"Superficie"	"Volume"	"Area cut"	"Vol cut"	"min_area"	"min_vol"
1	2075	"0"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	254	4790446	254	4790446	226	4391962
1	2075	"0"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	288	5657571	288	5657571	256	4473878
1	2080	"0"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	278	5673086	278	5673086	256	4268638
1	2080	"0"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	256	5080222	256	5080222	226	4391962
1	2080	"0"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	291	5810409	291	5810409	256	4473878
1	2085	"0"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	276	5495630	276	5495630	256	4268638
1	2085	"0"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	242	5053624	242	5053624	226	4391962
1	2085	"0"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	280	5954256	280	5954256	256	4473878
1	2090	"0"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	270	5757619	270	5757619	256	4268638
1	2090	"0"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	244	5144942	244	5144942	226	4391962
1	2090	"0"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	280	5709628	280	5709628	256	4473878
1	2095	"0"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	262	5470654	262	5470654	256	4268638
1	2095	"0"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	238	4752580	238	4752580	226	4391962
1	2095	"0"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	276	5251288	276	5251288	256	4473878
1	2100	"0"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	266	5297113	266	5297113	256	4268638
1	2100	"0"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	226	4522184	226	4522184	226	4391962
1	2100	"0"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	282	5367500	282	5367500	256	4473878
1	2025	"1"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	273	4874295	274	4826434	272	4811238
1	2025	"1"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	271	4871131	272	4693832	269	4735058
1	2025	"1"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	271	4853376	272	4873512	271	4792409
1	2030	"1"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	272	4891376	266	4766718	272	4811238
1	2030	"1"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	270	4814864	268	4841855	269	4735058
1	2030	"1"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	273	4939879	276	4924075	271	4792409
