"mgmt.unit"	"Année"	"scen"	"bonif"	"ssp"	"area.per"	"area.total"
"11161"	2095	"climat stable - reboisement"	"reboisement"	"climat stable"	4.8	30
"11161"	2095	"climat stable - recup70%"	"recup70%"	"climat stable"	1.6	26.8
"11161"	2095	"climat stable - reference"	"reference"	"climat stable"	4.4	30.4
"11161"	2095	"climat stable - reserve"	"reserve"	"climat stable"	3.6	28.4
"11161"	2095	"climat stable - sans coupe"	"sans coupe"	"climat stable"	7.2	22.4
"11161"	2100	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	4	16.8
"11161"	2100	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	0	15.2
"11161"	2100	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	2	12.8
"11161"	2100	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	0	14.4
"11161"	2100	"SSP2-4.5 - sans coupe"	"sans coupe"	"SSP2-4.5"	2	21.6
"11161"	2100	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	2.4	21.2
"11161"	2100	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	2.8	28.8
"11161"	2100	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	2.8	19.6
"11161"	2100	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	0.4	21.6
"11161"	2100	"SSP3-7.0 - sans coupe"	"sans coupe"	"SSP3-7.0"	1.6	22.8
"11161"	2100	"climat stable - reboisement"	"reboisement"	"climat stable"	3.2	28.4
"11161"	2100	"climat stable - recup70%"	"recup70%"	"climat stable"	1.6	27.2
"11161"	2100	"climat stable - reference"	"reference"	"climat stable"	5.2	27.6
"11161"	2100	"climat stable - reserve"	"reserve"	"climat stable"	4.8	28.8
"11161"	2100	"climat stable - sans coupe"	"sans coupe"	"climat stable"	2.4	18.4
"11262"	2025	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	0	0
"11262"	2025	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	0	0
"11262"	2025	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	0	0
"11262"	2025	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	0	0
"11262"	2025	"SSP2-4.5 - sans coupe"	"sans coupe"	"SSP2-4.5"	0	0
"11262"	2025	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	0	0
"11262"	2025	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	0	0
"11262"	2025	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	0	0
"11262"	2025	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	0	0
"11262"	2025	"SSP3-7.0 - sans coupe"	"sans coupe"	"SSP3-7.0"	0	0
"11262"	2025	"climat stable - reboisement"	"reboisement"	"climat stable"	0	0
"11262"	2025	"climat stable - recup70%"	"recup70%"	"climat stable"	0	0
"11262"	2025	"climat stable - reference"	"reference"	"climat stable"	0	0
"11262"	2025	"climat stable - reserve"	"reserve"	"climat stable"	0	0
"11262"	2025	"climat stable - sans coupe"	"sans coupe"	"climat stable"	0	0
"11262"	2030	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	0.8	0.8
"11262"	2030	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	0	0
"11262"	2030	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	1.2	1.2
"11262"	2030	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	2.4	2.4
"11262"	2030	"SSP2-4.5 - sans coupe"	"sans coupe"	"SSP2-4.5"	3.2	3.2
"11262"	2030	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	0	0
"11262"	2030	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	2.8	2.8
"11262"	2030	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	2	2
"11262"	2030	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	0	0
"11262"	2030	"SSP3-7.0 - sans coupe"	"sans coupe"	"SSP3-7.0"	3.6	3.6
"11262"	2030	"climat stable - reboisement"	"reboisement"	"climat stable"	1.2	1.2
"11262"	2030	"climat stable - recup70%"	"recup70%"	"climat stable"	4.4	4.4
"11262"	2030	"climat stable - reference"	"reference"	"climat stable"	2.8	2.8
"11262"	2030	"climat stable - reserve"	"reserve"	"climat stable"	6	6
"11262"	2030	"climat stable - sans coupe"	"sans coupe"	"climat stable"	0	0
"11262"	2035	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	0	0.8
"11262"	2035	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	3.6	3.6
"11262"	2035	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	1.6	2.8
"11262"	2035	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	4.8	7.2
"11262"	2035	"SSP2-4.5 - sans coupe"	"sans coupe"	"SSP2-4.5"	3.2	6.4
"11262"	2035	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	2.4	2.4
"11262"	2035	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	5.6	8.4
"11262"	2035	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	0.8	2.8
"11262"	2035	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	1.2	1.2
"11262"	2035	"SSP3-7.0 - sans coupe"	"sans coupe"	"SSP3-7.0"	1.6	5.2
"11262"	2035	"climat stable - reboisement"	"reboisement"	"climat stable"	4	5.2
"11262"	2035	"climat stable - recup70%"	"recup70%"	"climat stable"	4.4	8.8
"11262"	2035	"climat stable - reference"	"reference"	"climat stable"	0.4	3.2
"11262"	2035	"climat stable - reserve"	"reserve"	"climat stable"	0.8	6.8
"11262"	2035	"climat stable - sans coupe"	"sans coupe"	"climat stable"	0.8	0.8
"11262"	2040	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	0	0.8
"11262"	2040	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	1.2	4.8
"11262"	2040	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	1.2	4
"11262"	2040	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	2	9.2
"11262"	2040	"SSP2-4.5 - sans coupe"	"sans coupe"	"SSP2-4.5"	0.4	6.8
"11262"	2040	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	0	2.4
"11262"	2040	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	3.2	11.2
"11262"	2040	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	0	2.8
"11262"	2040	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	0.8	2
"11262"	2040	"SSP3-7.0 - sans coupe"	"sans coupe"	"SSP3-7.0"	1.6	6.8
"11262"	2040	"climat stable - reboisement"	"reboisement"	"climat stable"	2.4	7.6
"11262"	2040	"climat stable - recup70%"	"recup70%"	"climat stable"	1.2	10
"11262"	2040	"climat stable - reference"	"reference"	"climat stable"	4	7.2
"11262"	2040	"climat stable - reserve"	"reserve"	"climat stable"	2	8.8
