"mgmt.unit"	"Année"	"scen"	"bonif"	"ssp"	"area.acc"	"area.CT"	"area.salv"	"area.total"	"area.acc.mean"	"area.CT.mean"	"area.salv.mean"	"area.total.mean"
"11161"	2065	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	0	135.6	0.4	135.6	0	134.8	0.4	134.8
"11161"	2065	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	0	44.8	0.4	44.8	0.133333333333333	44.5333333333333	1.06666666666667	44.6666666666667
"11161"	2065	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	0	44	0	44	0	44	0.133333333333333	44
"11161"	2065	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	0	44	0	44	0	44.4	0.4	44.4
"11161"	2065	"SSP3-7.0 - sans feu"	"sans feu"	"SSP3-7.0"	0	44.4	0	44.4	0	44.5333333333333	0	44.5333333333333
"11161"	2065	"climat stable - reboisement"	"reboisement"	"climat stable"	0	133.6	0	133.6	0	133.333333333333	0.4	133.333333333333
"11161"	2065	"climat stable - recup70%"	"recup70%"	"climat stable"	0	44.8	0.4	44.8	0.133333333333333	44.5333333333333	0.266666666666667	44.6666666666667
"11161"	2065	"climat stable - reference"	"reference"	"climat stable"	0	44.4	0	44.4	0	44.1333333333333	0	44.1333333333333
"11161"	2065	"climat stable - reserve"	"reserve"	"climat stable"	0	44	0	44	0	44.1333333333333	0.133333333333333	44.1333333333333
"11161"	2065	"climat stable - sans feu"	"sans feu"	"climat stable"	0	44.4	0	44.4	0	44.2666666666667	0	44.2666666666667
"11161"	2070	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	0	136	0.8	136	0	135.2	0.4	135.2
"11161"	2070	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	0.4	44.8	0.4	45.2	0.133333333333333	45.4666666666667	1.06666666666667	45.6
"11161"	2070	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	0	44	0	44	0.133333333333333	44.4	0.266666666666667	44.5333333333333
"11161"	2070	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	0	44.4	0	44.4	0.133333333333333	44.1333333333333	0.133333333333333	44.2666666666667
"11161"	2070	"SSP2-4.5 - sans feu"	"sans feu"	"SSP2-4.5"	0	44.4	0	44.4	0	44.4	0	44.4
"11161"	2070	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	0	135.2	0	135.2	0	134.666666666667	1.06666666666667	134.666666666667
"11161"	2070	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	0.4	44.4	2	44.8	0.266666666666667	44.8	1.6	45.0666666666667
"11161"	2070	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	0	44	0.4	44	0	44	0.133333333333333	44
"11161"	2070	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	0	45.2	1.2	45.2	0	44.2666666666667	0.4	44.2666666666667
"11161"	2070	"SSP3-7.0 - sans feu"	"sans feu"	"SSP3-7.0"	0	44.4	0	44.4	0	44.4	0	44.4
