"mgmt.unit"	"Année"	"scen"	"Superficie"	"med_area"
"11262"	2045	"SSP2-4.5 - reserve"	75.2	41.2
"11262"	2050	"SSP2-4.5 - reserve"	89.2	41.2
"11262"	2055	"SSP2-4.5 - reserve"	20.4	41.2
"11262"	2060	"SSP2-4.5 - reserve"	29.6	41.2
"11262"	2065	"SSP2-4.5 - reserve"	40.8	41.2
"11262"	2070	"SSP2-4.5 - reserve"	31.6	41.2
"11262"	2075	"SSP2-4.5 - reserve"	36.4	41.2
"11262"	2080	"SSP2-4.5 - reserve"	61.6	41.2
"11262"	2085	"SSP2-4.5 - reserve"	75.2	41.2
"11262"	2090	"SSP2-4.5 - reserve"	41.2	41.2
"11262"	2095	"SSP2-4.5 - reserve"	28.4	41.2
"11262"	2100	"SSP2-4.5 - reserve"	43.2	41.2
"11262"	2025	"SSP2-4.5 - sans coupe"	0	NA
"11262"	2030	"SSP2-4.5 - sans coupe"	80.8	47.6
"11262"	2035	"SSP2-4.5 - sans coupe"	84	47.6
"11262"	2040	"SSP2-4.5 - sans coupe"	16	47.6
"11262"	2045	"SSP2-4.5 - sans coupe"	38	47.6
"11262"	2050	"SSP2-4.5 - sans coupe"	45.6	47.6
"11262"	2055	"SSP2-4.5 - sans coupe"	78.4	47.6
"11262"	2060	"SSP2-4.5 - sans coupe"	16.4	47.6
"11262"	2065	"SSP2-4.5 - sans coupe"	44.4	47.6
"11262"	2070	"SSP2-4.5 - sans coupe"	47.6	47.6
"11262"	2075	"SSP2-4.5 - sans coupe"	68	47.6
"11262"	2080	"SSP2-4.5 - sans coupe"	28	47.6
"11262"	2085	"SSP2-4.5 - sans coupe"	71.2	47.6
"11262"	2090	"SSP2-4.5 - sans coupe"	38	47.6
"11262"	2095	"SSP2-4.5 - sans coupe"	62.8	47.6
"11262"	2100	"SSP2-4.5 - sans coupe"	102.8	47.6
"11262"	2025	"SSP3-7.0 - reboisement"	0	NA
"11262"	2030	"SSP3-7.0 - reboisement"	0	36
"11262"	2035	"SSP3-7.0 - reboisement"	65.6	36
"11262"	2040	"SSP3-7.0 - reboisement"	23.2	36
"11262"	2045	"SSP3-7.0 - reboisement"	19.2	36
"11262"	2050	"SSP3-7.0 - reboisement"	36	36
"11262"	2055	"SSP3-7.0 - reboisement"	43.2	36
"11262"	2060	"SSP3-7.0 - reboisement"	51.2	36
"11262"	2065	"SSP3-7.0 - reboisement"	15.2	36
"11262"	2070	"SSP3-7.0 - reboisement"	76	36
"11262"	2075	"SSP3-7.0 - reboisement"	23.6	36
"11262"	2080	"SSP3-7.0 - reboisement"	30.8	36
"11262"	2085	"SSP3-7.0 - reboisement"	54	36
"11262"	2090	"SSP3-7.0 - reboisement"	92	36
"11262"	2095	"SSP3-7.0 - reboisement"	35.6	36
"11262"	2100	"SSP3-7.0 - reboisement"	61.2	36
"11262"	2025	"SSP3-7.0 - recup70%"	0	NA
"11262"	2030	"SSP3-7.0 - recup70%"	40.8	71.2
"11262"	2035	"SSP3-7.0 - recup70%"	73.2	71.2
"11262"	2040	"SSP3-7.0 - recup70%"	41.2	71.2
"11262"	2045	"SSP3-7.0 - recup70%"	98	71.2
"11262"	2050	"SSP3-7.0 - recup70%"	37.6	71.2
"11262"	2055	"SSP3-7.0 - recup70%"	101.2	71.2
"11262"	2060	"SSP3-7.0 - recup70%"	72.8	71.2
"11262"	2065	"SSP3-7.0 - recup70%"	138	71.2
"11262"	2070	"SSP3-7.0 - recup70%"	44.4	71.2
"11262"	2075	"SSP3-7.0 - recup70%"	42.4	71.2
"11262"	2080	"SSP3-7.0 - recup70%"	101.2	71.2
"11262"	2085	"SSP3-7.0 - recup70%"	67.2	71.2
"11262"	2090	"SSP3-7.0 - recup70%"	71.2	71.2
"11262"	2095	"SSP3-7.0 - recup70%"	71.6	71.2
"11262"	2100	"SSP3-7.0 - recup70%"	40	71.2
"11262"	2025	"SSP3-7.0 - reference"	0	NA
"11262"	2030	"SSP3-7.0 - reference"	68	40.8
"11262"	2035	"SSP3-7.0 - reference"	21.2	40.8
"11262"	2040	"SSP3-7.0 - reference"	11.6	40.8
"11262"	2045	"SSP3-7.0 - reference"	37.2	40.8
"11262"	2050	"SSP3-7.0 - reference"	40.8	40.8
"11262"	2055	"SSP3-7.0 - reference"	57.6	40.8
"11262"	2060	"SSP3-7.0 - reference"	38.4	40.8
"11262"	2065	"SSP3-7.0 - reference"	74	40.8
"11262"	2070	"SSP3-7.0 - reference"	32.8	40.8
"11262"	2075	"SSP3-7.0 - reference"	80.4	40.8
"11262"	2080	"SSP3-7.0 - reference"	67.2	40.8
"11262"	2085	"SSP3-7.0 - reference"	37.2	40.8
"11262"	2090	"SSP3-7.0 - reference"	62	40.8
"11262"	2095	"SSP3-7.0 - reference"	73.6	40.8
"11262"	2100	"SSP3-7.0 - reference"	38.4	40.8
"11262"	2025	"SSP3-7.0 - reserve"	0	NA
"11262"	2030	"SSP3-7.0 - reserve"	7.6	24.8
"11262"	2035	"SSP3-7.0 - reserve"	51.6	24.8
"11262"	2040	"SSP3-7.0 - reserve"	18.4	24.8
"11262"	2045	"SSP3-7.0 - reserve"	24.8	24.8
"11262"	2050	"SSP3-7.0 - reserve"	21.2	24.8
"11262"	2055	"SSP3-7.0 - reserve"	46	24.8
"11262"	2060	"SSP3-7.0 - reserve"	58	24.8
"11262"	2065	"SSP3-7.0 - reserve"	22	24.8
"11262"	2070	"SSP3-7.0 - reserve"	19.6	24.8
"11262"	2075	"SSP3-7.0 - reserve"	63.2	24.8
"11262"	2080	"SSP3-7.0 - reserve"	32.8	24.8
"11262"	2085	"SSP3-7.0 - reserve"	20	24.8
