"mgmt.unit"	"Année"	"scen"	"Historique"	"brfuel"	"Climat"	"Climat&Végétation"
"11161"	2065	"SSP3-7.0 - reference"	0.00742	0.00758	0.00943	0.00962
"11161"	2065	"SSP3-7.0 - reserve"	0.00742	0.00757	0.00943	0.00958
"11161"	2065	"SSP3-7.0 - sans coupe"	0.00742	0.00899	0.00943	0.01142
"11161"	2065	"SSP3-7.0 - sans feu"	0.00742	0.00788	0.00943	0.00997
"11161"	2065	"SSP3-7.0 - sans pert"	0.00742	0.00946	0.00943	0.012
"11161"	2065	"climat stable - reboisement"	0.00742	0.00763	0.00742	0.00763
"11161"	2065	"climat stable - recup70%"	0.00742	0.0077	0.00742	0.0077
"11161"	2065	"climat stable - reference"	0.00742	0.00766	0.00742	0.00766
"11161"	2065	"climat stable - reserve"	0.00742	0.00768	0.00742	0.00768
"11161"	2065	"climat stable - sans coupe"	0.00742	0.00924	0.00742	0.00924
"11161"	2065	"climat stable - sans feu"	0.00742	0.00794	0.00742	0.00794
"11161"	2065	"climat stable - sans pert"	0.00742	0.00962	0.00742	0.00962
"11161"	2070	"SSP2-4.5 - reboisement"	0.00742	0.00745	0.00837	0.00846
"11161"	2070	"SSP2-4.5 - recup70%"	0.00742	0.00735	0.00837	0.00837
"11161"	2070	"SSP2-4.5 - reference"	0.00742	0.00741	0.00837	0.0084
"11161"	2070	"SSP2-4.5 - reserve"	0.00742	0.00742	0.00837	0.00844
"11161"	2070	"SSP2-4.5 - sans coupe"	0.00742	0.00877	0.00837	0.00995
"11161"	2070	"SSP2-4.5 - sans feu"	0.00742	0.00774	0.00837	0.00876
"11161"	2070	"SSP2-4.5 - sans pert"	0.00742	0.00933	0.00837	0.01058
"11161"	2070	"SSP3-7.0 - reboisement"	0.00742	0.00742	0.00943	0.00942
"11161"	2070	"SSP3-7.0 - recup70%"	0.00742	0.00737	0.00943	0.00936
"11161"	2070	"SSP3-7.0 - reference"	0.00742	0.0074	0.00943	0.0094
"11161"	2070	"SSP3-7.0 - reserve"	0.00742	0.00739	0.00943	0.00938
"11161"	2070	"SSP3-7.0 - sans coupe"	0.00742	0.00878	0.00943	0.01111
"11161"	2070	"SSP3-7.0 - sans feu"	0.00742	0.00773	0.00943	0.00979
"11161"	2070	"SSP3-7.0 - sans pert"	0.00742	0.00933	0.00943	0.01186
"11161"	2070	"climat stable - reboisement"	0.00742	0.00746	0.00742	0.00746
"11161"	2070	"climat stable - recup70%"	0.00742	0.00759	0.00742	0.00759
"11161"	2070	"climat stable - reference"	0.00742	0.00742	0.00742	0.00742
"11161"	2070	"climat stable - reserve"	0.00742	0.00752	0.00742	0.00752
