"mgmt.unit"	"Année"	"scen"	"ssp"	"bonif"	"spp"	"area"	"Proportion"
"11161"	2025	"SSP3-7.0 - reserve"	"SSP3-7.0"	"reserve"	"Feuillus tolérants"	548	0.081
"11161"	2025	"SSP3-7.0 - reserve"	"SSP3-7.0"	"reserve"	"Résineux"	4208.4	0.621
"11161"	2025	"SSP3-7.0 - reserve"	"SSP3-7.0"	"reserve"	"Feuillus intolérants"	952	0.141
"11161"	2025	"SSP3-7.0 - reserve"	"SSP3-7.0"	"reserve"	"Plantations résineuses"	1063.6	0.157
"11161"	2025	"SSP3-7.0 - sans coupe"	"SSP3-7.0"	"sans coupe"	"Feuillus tolérants"	536.4	0.079
"11161"	2025	"SSP3-7.0 - sans coupe"	"SSP3-7.0"	"sans coupe"	"Résineux"	4298.8	0.635
"11161"	2025	"SSP3-7.0 - sans coupe"	"SSP3-7.0"	"sans coupe"	"Feuillus intolérants"	916.8	0.135
"11161"	2025	"SSP3-7.0 - sans coupe"	"SSP3-7.0"	"sans coupe"	"Plantations résineuses"	1020	0.151
"11161"	2025	"SSP3-7.0 - sans feu"	"SSP3-7.0"	"sans feu"	"Feuillus tolérants"	550.8	0.081
"11161"	2025	"SSP3-7.0 - sans feu"	"SSP3-7.0"	"sans feu"	"Résineux"	4211.2	0.622
"11161"	2025	"SSP3-7.0 - sans feu"	"SSP3-7.0"	"sans feu"	"Feuillus intolérants"	946	0.14
"11161"	2025	"SSP3-7.0 - sans feu"	"SSP3-7.0"	"sans feu"	"Plantations résineuses"	1064	0.157
"11161"	2025	"SSP3-7.0 - sans pert"	"SSP3-7.0"	"sans pert"	"Feuillus tolérants"	534	0.079
"11161"	2025	"SSP3-7.0 - sans pert"	"SSP3-7.0"	"sans pert"	"Résineux"	4295.2	0.634
"11161"	2025	"SSP3-7.0 - sans pert"	"SSP3-7.0"	"sans pert"	"Feuillus intolérants"	922.8	0.136
"11161"	2025	"SSP3-7.0 - sans pert"	"SSP3-7.0"	"sans pert"	"Plantations résineuses"	1020	0.151
"11161"	2025	"climat stable - reboisement"	"climat stable"	"reboisement"	"Feuillus tolérants"	538.4	0.08
"11161"	2025	"climat stable - reboisement"	"climat stable"	"reboisement"	"Résineux"	4165.2	0.615
"11161"	2025	"climat stable - reboisement"	"climat stable"	"reboisement"	"Feuillus intolérants"	921.6	0.136
"11161"	2025	"climat stable - reboisement"	"climat stable"	"reboisement"	"Plantations résineuses"	1146.8	0.169
"11161"	2025	"climat stable - recup70%"	"climat stable"	"recup70%"	"Feuillus tolérants"	546	0.081
"11161"	2025	"climat stable - recup70%"	"climat stable"	"recup70%"	"Résineux"	4220.4	0.623
"11161"	2025	"climat stable - recup70%"	"climat stable"	"recup70%"	"Feuillus intolérants"	942.4	0.139
"11161"	2025	"climat stable - recup70%"	"climat stable"	"recup70%"	"Plantations résineuses"	1063.2	0.157
"11161"	2025	"climat stable - reference"	"climat stable"	"reference"	"Feuillus tolérants"	546.8	0.081
