"Année"	"mgmt.unit"	"scen"	"Bois marchand"	"Bois autre"	"Feuillage"	"Racines grossières"	"Racines fines"	"Bois mort"	"très rapide"	"rapide"	"moyenne"	"lente aérien"	"Produits du bois"	"Atmosphère décomposition"	"Atmosphère perturbation"	"lente souterrain"	"PPN"	"PEN"	"PBN"
2055	"2751"	"SSP3-7.0 - reboisement"	21.27	10.421	3.411	7.728	1.605	4.757	6.648	8.013	10.625	26.057	0.24842	2.733011	0.066724	80.875	3.118189	0.385178	0.070034
2055	"2751"	"SSP3-7.0 - recup70%"	20.812	10.361	3.363	7.621	1.599	4.783	6.606	7.948	10.79	26.027	0.240039	2.719832	0.066238	80.874	3.106076	0.386245	0.079968
2055	"2751"	"SSP3-7.0 - reference"	20.188	10.107	3.261	7.436	1.57	5.465	6.452	8.143	10.882	25.893	0.240307	2.724769	0.204291	80.87	3.097025	0.372256	-0.072342
2055	"2751"	"SSP3-7.0 - reserve"	22.075	10.638	3.508	7.958	1.63	4.971	6.755	7.922	10.612	26.023	0.217978	2.744076	0.103019	80.876	3.15038	0.406304	0.085307
2055	"2751"	"SSP3-7.0 - sans coupe"	25.752	11.484	3.933	8.983	1.726	6.876	7.077	7.325	11.012	25.695	0	2.751196	0.082318	80.879	3.142879	0.391683	0.309365
2055	"2751"	"SSP3-7.0 - sans feu"	23.272	10.928	3.679	8.241	1.661	3.812	6.961	8.022	9.941	26.422	0.271501	2.770204	0	80.926	3.187578	0.417374	0.145872
2055	"2751"	"SSP3-7.0 - sans pert"	30.164	12.486	4.49	10.117	1.835	5.278	7.599	7.223	9.484	26.29	0	2.796934	0	80.973	3.257491	0.460556	0.460556
2055	"2751"	"climat stable - reboisement"	21.086	10.303	3.416	7.619	1.595	4.696	7.811	8.789	10.965	26.18	0.247567	2.605915	0.093529	80.815	3.047397	0.441482	0.100386
2055	"2751"	"climat stable - recup70%"	21.047	10.342	3.42	7.619	1.602	4.638	7.833	8.665	11.118	26.153	0.236697	2.596739	0.077072	80.808	3.060411	0.463672	0.149904
2055	"2751"	"climat stable - reference"	19.723	10.105	3.259	7.319	1.577	5.021	7.673	8.498	11.653	25.819	0.21963	2.569887	0.102741	80.726	3.013745	0.443858	0.121487
2055	"2751"	"climat stable - reserve"	21.886	10.477	3.506	7.836	1.614	5.043	7.888	8.675	10.97	26.127	0.217829	2.609115	0.111413	80.819	3.057521	0.448406	0.119165
2055	"2751"	"climat stable - sans coupe"	26.39	11.554	4.041	9.07	1.738	6.685	8.395	8.005	11.111	25.892	0	2.632489	0.157443	80.837	3.131347	0.498857	0.341414
2055	"2751"	"climat stable - sans feu"	22.901	10.782	3.652	8.094	1.648	3.854	8.17	8.801	10.391	26.513	0.273138	2.643401	0	80.862	3.1259	0.482498	0.209361
2055	"2751"	"climat stable - sans pert"	29.926	12.414	4.47	10.017	1.831	5.359	8.973	7.893	9.909	26.39	0	2.678843	0	80.914	3.240701	0.561858	0.561858
2060	"2751"	"SSP2-4.5 - reboisement"	21.173	10.396	3.386	7.704	1.602	4.777	6.72	8.1	10.463	26.133	0.250397	2.717921	0.104007	80.868	3.130927	0.413006	0.058603
2060	"2751"	"SSP2-4.5 - recup70%"	21.443	10.491	3.429	7.775	1.614	4.729	6.781	8.124	10.395	26.244	0.252037	2.728337	0.111173	80.902	3.161091	0.432754	0.069543
